epsilon_eV,k_iz,K,dK_deps
0.0,0.0,0.0,3.45159e-19
1.0,1.4119999999999998e-22,3.45159e-19,2.2616e-16
2.0,3.94e-18,4.5232e-16,3.1153274205e-15
3.0,1.08e-16,6.231e-15,1.235744e-14
4.0,5.982e-16,2.51672e-14,2.7182000000000003e-14
5.0,1.721e-15,6.0595e-14,4.32614e-14
6.0,3.575e-15,1.1169e-13,5.74055e-14
7.0,6.102e-15,1.75406e-13,6.832700000000001e-14
8.0,9.187e-15,2.48344e-13,7.6367e-14
9.0,1.274e-14,3.2814e-13,8.097799999999998e-14
10.0,1.655e-14,4.103e-13,8.5465e-14
11.0,2.079e-14,4.9907e-13,8.788999999999999e-14
12.0,2.509e-14,5.8608e-13,8.820499999999998e-14
13.0,2.961e-14,6.7548e-13,8.825e-14
14.0,3.409e-14,7.6258e-13,8.631000000000001e-14
15.0,3.856e-14,8.481e-13,8.599000000000002e-14
16.0,4.319e-14,9.3456e-13,8.552499999999998e-14
17.0,4.785e-14,1.01915e-12,8.217000000000004e-14
18.0,5.225e-14,1.0989e-12,8.151499999999998e-14
19.0,5.688e-14,1.18218e-12,7.694999999999999e-14
20.0,6.076e-14,1.2528e-12,7.723500000000002e-14
21.0,6.565e-14,1.33665e-12,7.991000000000001e-14
22.0,6.999e-14,1.41262e-12,7.469000000000006e-14
23.0,7.429e-14,1.48603e-12,7.032999999999996e-14
24.0,7.828e-14,1.55328e-12,6.848499999999999e-14
25.0,8.248e-14,1.623e-12,6.966000000000003e-14
26.0,8.66e-14,1.6926e-12,6.829499999999996e-14
27.0,9.063e-14,1.75959e-12,6.383999999999996e-14
28.0,9.449e-14,1.82028e-12,6.198e-14
29.0,9.835e-14,1.88355e-12,5.5859999999999926e-14
30.0,1.014e-13,1.932e-12,6.107499999999992e-14
31.0,1.058e-13,2.0057e-12,6.440000000000001e-14
32.0,1.094e-13,2.0608e-12,5.645000000000003e-14
33.0,1.13e-13,2.1186e-12,5.5899999999999994e-14
34.0,1.165e-13,2.1726e-12,5.1949999999999996e-14
35.0,1.2e-13,2.2225e-12,5.1299999999999993e-14
36.0,1.231e-13,2.2752e-12,5.42500000000001e-14
37.0,1.267e-13,2.331e-12,5.180000000000004e-14
38.0,1.299e-13,2.3788e-12,4.9349999999999987e-14
39.0,1.332e-13,2.4297e-12,4.260000000000004e-14
40.0,1.356e-13,2.464e-12,4.795000000000001e-14
41.0,1.394e-13,2.5256e-12,5.1100000000000055e-14
42.0,1.424e-13,2.5662e-12,4.439999999999989e-14
43.0,1.455e-13,2.6144e-12,4.3499999999999966e-14
44.0,1.482e-13,2.6532e-12,4.279999999999998e-14
45.0,1.512e-13,2.7e-12,4.1900000000000054e-14
46.0,1.54e-13,2.737e-12,4.1200000000000067e-14
47.0,1.569e-13,2.7824e-12,4.029999999999994e-14
48.0,1.594e-13,2.8176e-12,3.959999999999995e-14
49.0,1.623e-13,2.8616e-12,3.870000000000003e-14
50.0,1.647e-13,2.895e-12,4.0550000000000065e-14
51.0,1.675e-13,2.9427e-12,3.969999999999992e-14
52.0,1.7e-13,2.9744e-12,3.38500000000001e-14
53.0,1.726e-13,3.0104e-12,3.559999999999997e-14
54.0,1.751e-13,3.0456e-12,3.7549999999999976e-14
55.0,1.774e-13,3.0855e-12,3.400000000000006e-14
56.0,1.798e-13,3.1136e-12,3.329999999999987e-14
57.0,1.822e-13,3.1521e-12,3.530000000000006e-14
58.0,1.845e-13,3.1842e-12,3.170000000000016e-14
59.0,1.868e-13,3.2155e-12,1.2899999999999874e-14
60.0,1.867e-13,3.21e-12,3.009999999999984e-14
61.0,1.912e-13,3.2757e-12,4.730000000000001e-14
62.0,1.934e-13,3.3046e-12,3.164999999999997e-14
63.0,1.955e-13,3.339e-12,2.7699999999999973e-14
64.0,1.973e-13,3.36e-12,3.025e-14
65.0,1.996e-13,3.3995e-12,2.610000000000006e-14
66.0,2.014e-13,3.4122e-12,2.2150000000000062e-14
67.0,2.037e-13,3.4438e-12,2.7900000000000113e-14
68.0,2.054e-13,3.468e-12,2.725000000000011e-14
69.0,2.076e-13,3.4983e-12,2.999999999999987e-14
70.0,2.093e-13,3.528e-12,2.9399999999999855e-14
71.0,2.113e-13,3.5571e-12,1.8000000000000125e-14
72.0,2.125e-13,3.564e-12,2.0900000000000042e-14
73.0,2.15e-13,3.5989e-12,3.099999999999997e-14
74.0,2.168e-13,3.626e-12,2.3049999999999988e-14
75.0,2.183e-13,3.645e-12,2.2399999999999985e-14
76.0,2.2e-13,3.6708e-12,2.549999999999984e-14
77.0,2.22e-13,3.696e-12,2.100000000000001e-14
78.0,2.233e-13,3.7128e-12,2.430000000000021e-14
79.0,2.253e-13,3.7446e-12,1.9600000000000038e-14
80.0,2.261e-13,3.752e-12,2.3100000000000174e-14
81.0,2.285e-13,3.7908e-12,2.6399999999999968e-14
82.0,2.301e-13,3.8048e-12,1.775e-14
83.0,2.317e-13,3.8263e-12,2.119999999999995e-14
84.0,2.328e-13,3.8472e-12,2.059999999999973e-14
85.0,2.347e-13,3.8675e-12,1.9999999999999915e-14
86.0,2.362e-13,3.8872e-12,1.94000000000001e-14
87.0,2.377e-13,3.9063e-12,2.3200000000000143e-14
88.0,2.391e-13,3.9336e-12,2.265000000000011e-14
89.0,2.405e-13,3.9516e-12,1.3199999999999984e-14
90.0,2.414e-13,3.96e-12,1.7099999999999998e-14
91.0,2.433e-13,3.9858e-12,2.100000000000001e-14
92.0,2.447e-13,4.002e-12,1.5899999999999963e-14
93.0,2.46e-13,4.0176e-12,1.5299999999999743e-14
94.0,2.474e-13,4.0326e-12,1.9449999999999882e-14
95.0,2.487e-13,4.0565e-12,1.8900000000000253e-14
96.0,2.495e-13,4.0704e-12,1.3599999999999861e-14
